etf,year_value,year_name,percentile,return
1x,1,1yr,0,-0.3625328763979071
1x,1,1yr,1,-0.1888473521975229
1x,1,1yr,2,-0.1628855562023792
1x,1,1yr,3,-0.14524825625772952
1x,1,1yr,4,-0.13128756816776266
1x,1,1yr,5,-0.11974382187373589
1x,1,1yr,6,-0.10979697434972158
1x,1,1yr,7,-0.10085248581057593
1x,1,1yr,8,-0.09323632223233169
1x,1,1yr,9,-0.0864446265792137
1x,1,1yr,10,-0.07974873132913729
1x,1,1yr,11,-0.07376534281082758
1x,1,1yr,12,-0.06796893231843681
1x,1,1yr,13,-0.06288008425480429
1x,1,1yr,14,-0.05760097596718439
1x,1,1yr,15,-0.05262039948236108
1x,1,1yr,16,-0.04786169424013298
1x,1,1yr,17,-0.04333416432867143
1x,1,1yr,18,-0.03900490456679662
1x,1,1yr,19,-0.03464127125907335
1x,1,1yr,20,-0.030233773457567392
1x,1,1yr,21,-0.026154055789848862
1x,1,1yr,22,-0.022389452891829364
1x,1,1yr,23,-0.01841339846932788
1x,1,1yr,24,-0.014712714419716222
1x,1,1yr,25,-0.01084717535909796
1x,1,1yr,26,-0.007081628223841063
1x,1,1yr,27,-0.003388528865251317
1x,1,1yr,28,0.00013113134458109243
1x,1,1yr,29,0.0037379998489588395
1x,1,1yr,30,0.007183612367948289
1x,1,1yr,31,0.010764677724602212
1x,1,1yr,32,0.01423869550047141
1x,1,1yr,33,0.01777569197312001
1x,1,1yr,34,0.020972502373776347
1x,1,1yr,35,0.0241366790803641
1x,1,1yr,36,0.027550907085201137
1x,1,1yr,37,0.030933540418131455
1x,1,1yr,38,0.03405778733227183
1x,1,1yr,39,0.03746466496467393
1x,1,1yr,40,0.04054575457640497
1x,1,1yr,41,0.043596228580679686
1x,1,1yr,42,0.046813255257969644
1x,1,1yr,43,0.05008267610754191
1x,1,1yr,44,0.05354474259933606
1x,1,1yr,45,0.05682362095856597
1x,1,1yr,46,0.059893971212813035
1x,1,1yr,47,0.0630690584718343
1x,1,1yr,48,0.06622500072103432
1x,1,1yr,49,0.06939766590687113
1x,1,1yr,50,0.07254272265386197
1x,1,1yr,51,0.07569186638163727
1x,1,1yr,52,0.07894317984638799
1x,1,1yr,53,0.08221262053818656
1x,1,1yr,54,0.08547504233764935
1x,1,1yr,55,0.0888020535294638
1x,1,1yr,56,0.09197800883687446
1x,1,1yr,57,0.09530447116439777
1x,1,1yr,58,0.09882772798476092
1x,1,1yr,59,0.10207366641918658
1x,1,1yr,60,0.10529919558554734
1x,1,1yr,61,0.10872441462972948
1x,1,1yr,62,0.11221101540172707
1x,1,1yr,63,0.1159720683328973
1x,1,1yr,64,0.119377904681774
1x,1,1yr,65,0.12296511787297004
1x,1,1yr,66,0.12673559834116577
1x,1,1yr,67,0.13045957249808704
1x,1,1yr,68,0.13387136508845354
1x,1,1yr,69,0.13780256887885534
1x,1,1yr,70,0.14173787132523996
1x,1,1yr,71,0.14575650140517982
1x,1,1yr,72,0.1496245392733806
1x,1,1yr,73,0.1540633757294847
1x,1,1yr,74,0.15849328461585932
1x,1,1yr,75,0.1627614281665155
1x,1,1yr,76,0.16737023049106448
1x,1,1yr,77,0.17215716819042393
1x,1,1yr,78,0.17693583269728963
1x,1,1yr,79,0.1816384732621914
1x,1,1yr,80,0.1866235243655674
1x,1,1yr,81,0.19201014123063187
1x,1,1yr,82,0.19736742245076888
1x,1,1yr,83,0.20302901665911244
1x,1,1yr,84,0.20889995351553692
1x,1,1yr,85,0.21495395927723826
1x,1,1yr,86,0.22157865603359683
1x,1,1yr,87,0.22846229211529168
1x,1,1yr,88,0.23594070728117833
1x,1,1yr,89,0.24388789498016217
1x,1,1yr,90,0.25207967170197954
1x,1,1yr,91,0.26082523802388646
1x,1,1yr,92,0.27012473105482737
1x,1,1yr,93,0.28133810723587427
1x,1,1yr,94,0.29391853923427025
1x,1,1yr,95,0.30825651246159813
1x,1,1yr,96,0.3253408103872901
1x,1,1yr,97,0.34563137764485674
1x,1,1yr,98,0.3743705525832943
1x,1,1yr,99,0.4219456073760912
1x,1,1yr,100,0.7894932941089026
1x,3,3yr,0,-0.5231885524203843
1x,3,3yr,1,-0.2373314740103627
