etf,year_value,year_name,percentile,return
1x,1,1yr,0,-0.419600077225564
1x,1,1yr,1,-0.18890641663664265
1x,1,1yr,2,-0.16216455857657786
1x,1,1yr,3,-0.14460723874922787
1x,1,1yr,4,-0.13101037671580973
1x,1,1yr,5,-0.11996024383775072
1x,1,1yr,6,-0.11033055371625822
1x,1,1yr,7,-0.10190789210882578
1x,1,1yr,8,-0.09424749543001143
1x,1,1yr,9,-0.0872249152413187
1x,1,1yr,10,-0.08083597243087226
1x,1,1yr,11,-0.07470699673036951
1x,1,1yr,12,-0.06878842610817948
1x,1,1yr,13,-0.06336700272088491
1x,1,1yr,14,-0.05814303320854952
1x,1,1yr,15,-0.05313036431281981
1x,1,1yr,16,-0.04831302800582693
1x,1,1yr,17,-0.043654301886652536
1x,1,1yr,18,-0.03928392480011367
1x,1,1yr,19,-0.034921350979390864
1x,1,1yr,20,-0.03071055195072292
1x,1,1yr,21,-0.026617210370034172
1x,1,1yr,22,-0.022638758204525655
1x,1,1yr,23,-0.018721014288522908
1x,1,1yr,24,-0.014921238892337763
1x,1,1yr,25,-0.011089489525702545
1x,1,1yr,26,-0.007401256423963942
1x,1,1yr,27,-0.0037324668072807876
1x,1,1yr,28,-0.00013039774345546817
1x,1,1yr,29,0.003362994829068322
1x,1,1yr,30,0.00682971626065676
1x,1,1yr,31,0.010257660502849486
1x,1,1yr,32,0.01368778817797045
1x,1,1yr,33,0.017199934834593478
1x,1,1yr,34,0.02055385197055215
1x,1,1yr,35,0.023916086204435638
1x,1,1yr,36,0.02721550601548528
1x,1,1yr,37,0.030486636962292257
1x,1,1yr,38,0.033770186090267273
1x,1,1yr,39,0.037046005614270294
1x,1,1yr,40,0.040276249029497
1x,1,1yr,41,0.04351633350296069
1x,1,1yr,42,0.04673134552933833
1x,1,1yr,43,0.04993826483654917
1x,1,1yr,44,0.05315609187659831
1x,1,1yr,45,0.056333174175803524
1x,1,1yr,46,0.059587637630135415
1x,1,1yr,47,0.0628004154983246
1x,1,1yr,48,0.06601142460227027
1x,1,1yr,49,0.06923387870457565
1x,1,1yr,50,0.07249247144437798
1x,1,1yr,51,0.07570849598969942
1x,1,1yr,52,0.07896945253603871
1x,1,1yr,53,0.08219443177148911
1x,1,1yr,54,0.08541814792911007
1x,1,1yr,55,0.08869875425059126
1x,1,1yr,56,0.09206290421705243
1x,1,1yr,57,0.09542942984672309
1x,1,1yr,58,0.09872519151051384
1x,1,1yr,59,0.10208333010906956
1x,1,1yr,60,0.10547027744878523
1x,1,1yr,61,0.10897300652586961
1x,1,1yr,62,0.11249547401212068
1x,1,1yr,63,0.11602591330299639
1x,1,1yr,64,0.11960385522920514
1x,1,1yr,65,0.1231976852725356
1x,1,1yr,66,0.126900151761282
1x,1,1yr,67,0.13059696171125412
1x,1,1yr,68,0.1343642076929732
1x,1,1yr,69,0.13815375927387685
1x,1,1yr,70,0.14204111417396392
1x,1,1yr,71,0.14597453307417552
1x,1,1yr,72,0.1499970617858175
1x,1,1yr,73,0.1542427290559163
1x,1,1yr,74,0.15848105186845052
1x,1,1yr,75,0.1627805330754195
1x,1,1yr,76,0.16725332720997388
1x,1,1yr,77,0.1718339884287654
1x,1,1yr,78,0.1764828581226494
1x,1,1yr,79,0.18130581138136614
1x,1,1yr,80,0.18636361868501528
1x,1,1yr,81,0.19154732403907193
1x,1,1yr,82,0.19691765386725635
1x,1,1yr,83,0.2025296991479788
1x,1,1yr,84,0.20834173898143216
